Assistance No.;Job No.;Vessel;Description;Vessel Name;Job;Departure;Arrival;Start Mobilisation;Ordered;On Site;Start - On Site;Lignes;Start Job;Start Job - End Job;Lignes2;End Job;End Job - End Mobilisation;Lignes3;End Mobilisation;Total;Lignes4;Assistant Hrs;Running Hrs.;Time Registration;Used Configuration;Comments
ASS21051168;JOB21026259;SOUTHAMPTON;Southampton;MSC PINA;VOORHAVEN;Albert II dok APM TERMINAL;;13/05/21 23:30:00;14/05/21 00:01:00;13/05/21 23:55:23;;;14/05/21 00:01:00;;;14/05/21 00:21:49;;;14/05/21 00:22:39;;;0,3;0,9;Finished;TOWING WINCH FWD / PORT;FAUX
ASS21051021;JOB21026194;SOUTHAMPTON;Southampton;BALTIC ERICA;LOCK;;Noordelijk Insteekdok BNFW OOST;13/05/21 11:45:00;13/05/21 13:25:00;13/05/21 13:00:00;;;13/05/21 13:30:00;;;13/05/21 15:00:00;;;13/05/21 15:30:00;;;1,5;3,8;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21050804;JOB21026102;SOUTHAMPTON;Southampton;TITUS;LOCK;;Zuidelijk Insteekdok WALLENIUS;12/05/21 22:20:00;12/05/21 23:05:00;12/05/21 22:50:00;;;12/05/21 23:05:08;;;13/05/21 01:11:30;;;13/05/21 01:40:00;;;2,1;3,3;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21050411;JOB21025887;SOUTHAMPTON;Southampton;GRAVITY HIGHWAY;LOCK;Zuidelijk Insteekdok ZID OOST;;11/05/21 18:15:00;11/05/21 19:10:00;11/05/21 18:45:00;;;11/05/21 19:00:00;;;11/05/21 21:03:41;;;11/05/21 21:30:00;;;2,1;3,3;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21050324;JOB21025815;SOUTHAMPTON;Southampton;SIRIUS HIGHWAY;LOCK;Zuidelijk Insteekdok ZID OOST;;11/05/21 15:10:00;11/05/21 15:40:00;11/05/21 15:40:00;;;11/05/21 15:40:00;;;11/05/21 17:55:00;;;11/05/21 18:25:00;;;2,3;3,3;Finished;TOWING WINCH FWD / PORT;FAUX
ASS21050304;JOB21025800;SOUTHAMPTON;Southampton;CYGNUS LEADER;SHIFT ACHTERHAVEN;;Zuidelijk Insteekdok STEIGER TOYOTA;11/05/21 13:30:00;11/05/21 14:10:00;11/05/21 14:15:00;;;11/05/21 14:20:00;;;11/05/21 15:10:00;;;11/05/21 15:10:00;;;0,8;1,7;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21050201;JOB21025762;SOUTHAMPTON;Southampton;FEDOR LITKE;VOORHAVEN;LNG LNG TERMINAL;;11/05/21 11:10:00;11/05/21 11:45:00;11/05/21 11:40:00;;;11/05/21 11:40:00;;;11/05/21 12:25:00;;;11/05/21 12:55:00;;;0,8;1,8;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21050045;JOB21025697;SOUTHAMPTON;Southampton;TANNHAUSER;LOCK;Zuidelijk Insteekdok SRT ZID;;10/05/21 22:20:00;10/05/21 22:40:00;10/05/21 22:35:00;;;10/05/21 22:41:58;;;11/05/21 00:08:17;;;11/05/21 00:40:00;;;1,4;2,3;Finished;TOWING WINCH FWD / PORT;FAUX
ASS21050022;JOB21025677;SOUTHAMPTON;Southampton;SIRIUS HIGHWAY;LOCK;;Zuidelijk Insteekdok ZID OOST;10/05/21 19:50:00;10/05/21 20:00:00;10/05/21 20:00:00;;;10/05/21 20:00:00;;;10/05/21 22:20:00;;;10/05/21 22:50:00;;;2,3;3,;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21049965;JOB21025666;SOUTHAMPTON;Southampton;SUNSHINE ACE;LOCK;Zuidelijk Insteekdok ZID OOST;;10/05/21 17:25:00;10/05/21 19:15:00;10/05/21 17:25:00;;;10/05/21 18:00:00;;;10/05/21 19:50:00;;;10/05/21 20:00:00;;;1,8;2,6;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21049851;JOB21025582;SOUTHAMPTON;Southampton;CYGNUS LEADER;LOCK;;Zuidelijk Insteekdok STEIGER TOYOTA;10/05/21 11:45:00;10/05/21 12:55:00;10/05/21 13:00:00;;;10/05/21 13:00:00;;;10/05/21 15:20:00;;;10/05/21 15:50:00;;;2,3;4,1;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21049662;JOB21025465;SOUTHAMPTON;Southampton;VIKING AMBER;LOCK;;Zuidelijk Insteekdok ZID WEST;10/05/21 03:00:00;09/05/21 20:32:00;10/05/21 03:20:00;;;10/05/21 03:30:27;;;10/05/21 03:54:13;;;10/05/21 04:24:00;;;0,4;1,4;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21049628;JOB21025462;SOUTHAMPTON;Southampton;SEATRADE RED;LOCK;;Noordelijk Insteekdok BNFW OOST;09/05/21 23:50:00;09/05/21 22:19:00;10/05/21 00:01:00;;;10/05/21 00:01:00;;;10/05/21 02:15:00;;;10/05/21 02:45:00;;;2,2;2,9;Finished;TOWING WINCH FWD / PORT;FAUX
